beerId,name,CLR,FLVR,AROMA
1,Peroni,bionda,dolce,fruttata
2,Aegir Kveite,bianca,equilibrata,standard
3,Nastro Azzurro,rossa,dolce,maltosa
4,Alto Tevere,bionda,dolce,standard
5,Alto tevere goldie,ambrata,equilibrata,standard
6,Alto tevere noire,scura,amaro,maltosa
7,Guerilla,bianca,equilibrata,standard
8,Phantasmagoria,ambrata,amaro,standard
20,Cow Palace Scotch Ale 1998,rossa,equilibrata,standard
21,Bigfoot 2001,bionda,dolce,standard
22,Bigfoot 2002,bianca,dolce,standard
23,Bigfoot 2003,bionda,amaro,standard
25,Bigfoot 2005,rossa,equilibrata,standard
27,Full Moon Winter Ale,bianca,dolce,standard
28,Odell IPA,bionda,equilibrata,standard
29,Ornery Amber Lager,bianca,dolce,maltosa
30,Cutthroat Porter,rossa,equilibrata,standard
31,Maple Nut Brown Ale Ale,bianca,maltosa
32,Cocoa Porter,rossa,dolce,standard
33,Jenlain Blonde,bionda,equilibrata,maltosa
34,Blonde,bionda,dolce,standard
35,Flemish Primitive Wild Ale (Demon Fish),ambrata,amaro,standard
36,Witkap-Pater Tripel,scura,amaro,standard
37,Winter Cheer,bianca,dolce,maltosa
38,Canaster Winter Scotch,bianca,amaro,fruttata
40,Quelque Chose,bionda,equilibrata,standard
41,Kriek,bianca,dolce,fruttata
43,Maracaibo Especial,rossa,equilibrata,maltosa
44,Flemish Primitive Wild Ale (Pin Head),bionda,dolce,standard
45,Calabaza Blanca,bianca,dolce,standard
46,Porter,rossa,dolce,standard
47,Cardinal Pale Ale,bianca,equilibrata,maltosa
48,Zinnebir Xmas,scura,amaro,maltosa
49,Bridal Ale 2005,bionda,equilibrata,standard
50,Zinnebir,bianca,amaro,fruttata
51,Saison Imperiale,ambrata,amaro,fruttata
52,La Moneuse,bianca,amaro,standard
53,Red Sled Winter Ale,ambrata,amaro,standard
54,Christmas Ale 2007,bionda,dolce,standard
55,Equinox Dark Belgian Winter,bianca,equilibrata,standard
56,Serafijn Christmas Angel,bianca,amaro,maltosa
57,Obovoid Empirical Stout,bionda,equilibrata,maltosa
58,Furious Beer,ambrata,amaro,standard